name,phone_number,address,city,state,country,zipcode,description,amenities,rating,longitude,latitude
Golden Nugget Las Vegas Hotel & Casino,(702) 385-7111,129 East Fremont St,Las Vegas,Nevada,United States of America,89101,"Luxurious, Comfortable Las Vegas Hotel Rooms
Looking for iconic Vegas ambience with a luxurious, modern feel? This is your place.

Looking for iconic Vegas ambience with a luxurious, modern feel?  This is your place. Located in the heart of Fremont Street’s never-ending party, Golden Nugget Hotel & Casino offers a hip vintage vibe you just won’t find on the Strip. The dazzling light shows. The buoyant live music. The world’s largest nugget of gold. You’ll be able to experience it all firsthand when you book a stay at Golden Nugget Las Vegas.

Our Downtown Las Vegas hotel features more than 2,000 inviting rooms and suites designed with a variety of thoughtful amenities. After an adventurous day, dip into our lagoon-style swimming pool, which circles a three-story shark tank with a waterslide running right through it. Reserve today, and start planning your Downtown Vegas adventure at Golden Nugget. ","WiFi, Pool, Spa, TV, Air Conditioning",0,-115.144706,36.173477
Sheraton Gateway Los Angeles Hotel,(310) 642-1111,6101 W Century Blvd,Los Angeles ,California,United States of America,90045,"Located just outside of Los Angeles International Airport, Sheraton Gateway Los Angeles Hotel welcomes guests with a free LAX shuttle, terrific service and contemporary accommodations. Relax and recharge in our spacious, pet-friendly rooms and suites. Every room features modern furnishings, flat-panel TVs, marble bathrooms, signature beds, ample work desks and free Wi-Fi. Concierge-level accommodations grant Lounge access with perks like complimentary breakfasts and evening snacks. Upgrade to a suite for generous sitting areas, sleeper sofas and dining/conference tables. Take a dip in our heated, outdoor pool and work out in our 24-hour Sheraton Fitness before savoring innovative California cuisine and libations in one of our popular restaurants. With 31 state-of-the-art venues, event planners can organize everything from gala banquets and weddings to seminars at our hotel. When you are ready to explore, you'll appreciate our proximity to LMU, Inglewood, local beaches and StubHub Center games. ","WiFi, Pool, TV, Air Conditioning",0,-118.389353,33.950817
The L.A. Grand Hotel Downtown,(213) 617-1133,333 S Figueroa St,Los Angeles ,California,United States of America,90071,"
Modern and Sleek L.A. Hotel Awaits Your Arrival

When you stay with us, you will find that while you are at the heart of the cultural, finance, and entertainment hub of Los Angeles Downtown, our hotel offers you a serene retreat from the hustle and bustle of the city transforming into your home away from home.

The L.A. Grand Hotel Downtown was designed with the everyday traveler in mind. Whether you are traveling for business, visiting friends, or enjoying a family vacation in Los Angeles, we are proud to offer a variety of spacious suite options to satisfy all tastes and accommodate your needs.

Our recent renovations have highlighted our modern, contemporary oasis and further enhanced our guestroom features and amenities. Upon entering the lobby, our open floor plan allows you to easily scan the first floor for your next stop.

Check in with the front desk, take a breath and sit at one of the many sofas throughout the lobby, enjoy a cocktail at BAR9 or a full dinner meal at Ziran restaurant, or simply visit the gift shop for a city souvenir. If you’re staying for an event held at one of our meeting rooms upstairs, you can take the escalators (found in the middle of the lobby) right on up. Oh, the options!

","WiFi, Pool, TV, Air Conditioning",0,-118.25541,34.05504
The Majestic Yosemite Hotel,(888) 413-8869,"Yosemite National Park, 1 Ahwahnee Drive",Yosemite Valley,California,United States of America,95389,"The Majestic Yosemite Hotel shines as Yosemite National Park’s distinctive AAA four-diamond hotel. Known for its stunning interior design and architecture, The Majestic Yosemite Hotel was specifically designed to highlight its natural surroundings, featuring Yosemite Falls, Half Dome and Glacier Point. The hotel holds a historic heritage as it is listed on the National Register of Historic Places and is a National Historic Landmark. The destination of queens and presidents alike, this distinctive Yosemite hotel offers a perfect balance of history, hospitality and elegance.

The Majestic Yosemite Hotel offers a gift shop with a focus on local artisans, a decadent sweet shop, a comfortable bar and a heated outdoor swimming pool. The Majestic Yosemite Hotel Dining Room serves breakfast, lunch, dinner and Sunday brunch.
","WiFi, Pool, TV, Air Conditioning, Ballroom",0,-119.573991,37.748691
Blue Chairs Resort,52 322-222-5040,"Malecon 4, Zona Romántica, Emiliano Zapata",Puerto Vallarta,Jalisco,Mexico,48380,"Blue Chairs Resorts is located on the beachfront in the ""Romantic Zone"" of Puerto Vallarta, Jalisco, Mexico, just a few short blocks from the center of town and entertainment.

This beachfront resort is a few steps from restaurants, bars, shops and some of the most popular night clubs of Vallarta. When you stay at Blue Chairs, you will be in the heart of PV in a luxuriously renovated resort in an elegant Mexican style. The Blue Chairs Resort, known throughout the world, is incomparable to any other local hotels and is the only such lodging in Puerto Vallarta with direct beachfront access and with deluxe services at a reasonable cost.

We invite you to come and stay with us, since we are sure you will love it and want to return!
","WiFi, Pool, Spa, TV, Air Conditioning,Beach view",0,-105.23913,20.597315
Hyatt Regency Savannah,(912) 238-1234,2 W Bay St,Savannah,Georgia,United States of America,31401,"Relax by the River at our Downtown Savannah Hotel

Our hotel in the Savannah Historic District, with direct access to cobblestoned River Street, puts you steps away from monuments, shops, local restaurants, and live music. Experience the city's unique spirit on a ghost tour or paddle-steamer ride, then unwind with a cocktail on our outdoor patio overlooking the Savannah River.
","WiFi, TV, Air Conditioning, Bathtub, View, Smoking",0,-81.091386,32.081559
Four Points by Sheraton French Quarter,(504) 524-7611,541 Bourbon St,New Orleans,Louisiana,United States of America,70130,"Treat yourself to a stay at Four Points by Sheraton French Quarter. Located in the famed, historic French Quarter, at the intersection of Bourbon and Toulouse Streets, our hotel is set on the site of a legendary French Opera House. Walk to nearby shopping, dining and famous landmarks. Settle into our stylish guest rooms and suites with complimentary Wi-Fi and deluxe amenities, many with balconies overlooking Bourbon Street or our lovely courtyard. Relax in a tranquil oasis here in our beautifully-landscaped courtyard and inviting outdoor pool. Work out in our modern fitness center. Enjoy live jazz, New Orleans cuisine and specialty cocktails at Puccini Bar or a hot breakfast at Cafe Opera. Explore our elegant event venues for your next meeting or social event. Visit local attractions, such as the Superdome, Jackson Square, Canal Place shops and Riverwalk Outlets. Our unique French Quarter hotel welcomes you with superb service, thoughtful amenities and a premier setting in the center of the action. 
","WiFi, TV, Air Conditioning, Pool, Balcony, Smoking",0,-90.066631,29.957726
Dollywood's DreamMore Resort,(800) 365-5996,2525 DreamMore Way,Pigeon Forge,Tennessee,United States of America,37863,"Family time comes naturally at Dollywood's DreamMore Resort and Spa™. Surrounded by the beauty of the Great Smoky Mountains yet only minutes away from excitement, Dollywood's DreamMore Resort offers everything to make your family's trip memorable.
","WiFi, TV, Air Conditioning, Pool, Spa, Balcony",0,-83.535864,35.813919
Grand Canyon Lodge - North Rim,(877) 386-4383, AZ-67,North Rim,Arizona,United States of America,86052,"Welcome to the Grand Canyon Lodge North Rim!

Take a trip to the north side of one of the greatest wonders in the world, the Grand Canyon. As a part of this scenic spot since 1928, the Grand Canyon Lodge North Rim sits just above the canyon with a variety of cabin and motel room choices available for your next vacation. Enjoy all that the canyon and lodge have to offer when you visit us for your next vacation.
","TV, Air Conditioning,View",0,-112.053337,36.197589
Zion National Park Lodge,(888)297-2757,1 Zion lodge,Springdale,Utah,United States of America,84767,"Welcome to Zion Lodge — the Only “In-Park” Lodging at Zion National Park

The name “Zion” means a place of peace and refuge. As a sanctuary with over 146,000 acres of cliffs, canyons, diverse plant and animal life, and uninterrupted beauty, Zion is well-named. Its massive sandstone walls, some as high as 3,800 feet, offer an opportunity for serenity and reflection for all who visit—and Zion Lodge offers the only in-park lodging inside this hiker’s paradise.

Enjoy a selection of comfortable and spacious accommodations, a year-round restaurant serving local favorites and a wide variety of ways to keep you entertained during your stay in Zion National Park.
","WiFi, Air Conditioning, Pool",0,-112.95649,37.250136
Bellagio Hotel and Casino,(888) 987-6667, 3600 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"The hotel rooms and suites at the Bellagio offer the perfect blend of beauty and elegance. Our rooms will elevate your stay, whether you're traveling for business, celebrating a honeymoon, or just looking for a remarkable getaway. With views of the Las Vegas valley or the iconic Bellagio fountains right from your suite, your stay will be nothing short of unforgettable. 
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view",0,-115.176712,36.112632
Mirage ,(702) 791-7111,3400 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"A Polynesian-themed resort and casino resort located center strip. You are have reached the pinacle of luxury when you stay with us. 
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.174079,36.121208
Flamingo ,(702) 733-3111,3555 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"The Flamingo Las Vegas hotel is an all-in-one casino and resort offering everything an adventurous vacationer could want:  A tropical Wildlife Habitat, Go Pool - a 15-acre Caribbean-style water playground, and select rooms with fabulous views of the 550-foot-tall High Roller. Located at the center of the Strip and adjacent to The LINQ and High Roller, this Las Vegas hotel combines heart-pounding excitement with hospitality and service that's second to none. 
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.170796,36.11644
Caesars Palace,(866) 227-5938,3570 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"Book your Las Vegas vacation now and enjoy a luxurious stay in Palace Tower’s stylish rooms and suites. Sleek modern décor, stone accents, luxurious furnishings and Roman-inspired artwork make every guest feel like royalty.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.174505,36.116195
The Cosmopolitan,(702) 698-7000,3708 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"The Cosmopolitan of Las Vegas hotel rooms are spacious, warm and welcoming, with artful, hand-crafted touches that give each space the intimate feel of a private urban residence.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view",0,-115.175293,36.109444
The Golden Gate Hotel and Casino, (702) 385-1906,1 Fremont St,Las Vegas,Nevada,United States of America,89101,"THE LAS VEGAS ORIGINAL – SINCE 1906

Opening in 1906 at One Fremont Street, Golden Gate’s legacy spans the birth of Las Vegas, the Roaring 20s, the Rat Pack era and now the 21st century. Staying true to its roots, the property’s recent renovation draws inspiration from its colorful past, seamlessly blending old and new. Boasting a prime location under the lights of the Fremont Street Experience and three distinctive bars, the historic property delivers an experience that is authentic and energetic. Golden Gate – where the past meets the future and the spirit of Las Vegas is very much alive.

The hotel’s new luxury suites present a fresh and contemporary feel, blended with styling that spans the decades. Each is themed with Swing era-inspired pinstriped carpeting; Art Deco accents; and a photograph of an iconic Las Vegas celebrity, many of whom frequented Golden Gate. All suites are climate-controlled with motion sensors and boast a 50-inch HD flat-screen TV, California king bed and sectional sofa with a queen-size pullout. The Golden Gate also features 106 recently remodeled rooms that date back to the 1906 opening. All of our guest rooms are furnished with pillow-top mattresses, flat-screen TV’s, iHome clock radios, cable TV, voicemail and computer ports.

We are conveniently located at the entrance to the Fremont Street Experience with the biggest video screen on the planet – 10 stories tall and 4 blocks long, featuring free indescribable light shows.

For reservations dial toll free (800) 426-1906.
","WiFi, Pool, TV, Air Conditioning,Smoking",0,-115.146256,36.171267
The Artisan Hotel Boutique,(702) 214-4000,1501 W Sahara Ave,Las Vegas,Nevada,United States of America,89102,"The Artisan Hotel Boutique

Whether a weekday Las Vegas convention visitor or Vegas weekend partier, when you experience the ARTISAN hotel's gothic art-filled lobby, suites, restaurant, bar and pool, you are transported to another world! Leave your car with our complimentary valet and we'll take care of the rest.

Monday through Thursday the ARTISAN is a quiet Las Vegas boutique hotel retreat that's great for business and leisure travelers. Friday through Sunday is all about decadent excess with non-stop weekend parties and Artisan Nightlife!
","WiFi, Pool, Spa, TV, Air Conditioning,Smoking",0,-115.169869,36.143726
Hard Rock Hotel and Casino,(702) 693-5000,4455 Paradise Rd,Las Vegas,Nevada,United States of America,89169," At Hard Rock Hotel & Casino Las Vegas, we believe you should be able to play where you stay. You’ll find our one-of-a-kind accommodations offer more than a great place to sleep. Our Las Vegas hotel rooms and luxury suites are equipped with customized amenities to ensure your trip to Vegas is one to remember. Discover our collection of hotel accommodations, including the AAA Four Diamond HRH All-Suite Tower, our stylish new Casino Tower rooms and the signature Paradise Tower. All feature brag-worthy pool or city views. Our king and double queen rooms are a comfortable and stylish way to end or start your night in Vegas.

Looking for the perfect guy’s getaway? The Penthouse Real World Suite (with a bowling alley) offers the ultimate party vibe. Our luxury Pool Villa Suite or Spa Villa Suites are perfectly-suited for resort-style relaxation. Choose your accommodations style and let the games begin! 
","WiFi, Pool, Spa, TV, Air Conditioning,Smoking",0,-115.154203,36.108999
The Luxor Hotel and Casino,(702) 262-4000,3900 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89119,"Party like a pharaoh in one of the most recognizable resorts in Las Vegas is the 30-story pyramid of Luxor Hotel & Casino. 
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.176067,36.095513
Resort World Las Vegas,(702) 802-6460,3000 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"Stepping into a room at Resort World Las Vegas is like entering an art gallery with its mural-adorned walls and artistic furniture pieces.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.167488,36.134167
The Linq Las Vegas Hotel & Casino,(800) 634-6441,3535 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"The LINQ is taking visitors to thrilling new heights with two exciting experiences. Ride on the world’s tallest observation wheel, the High Roller, or soar above the LINQ Promenade on FLY LINQ Zipline.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.171443,36.118639
The Cromwell,(702) 777-3777,3595 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"The Cromwell presents the Strip’s first Las Vegas standalone boutique hotel. Each of the 188 rooms features luxurious accommodations in an intimate, Parisian-inspired atmosphere. 

The Cromwell also offers player-friendly gaming, free live entertainment nightly at Interlude Lounge, personal concierge service with Ivy and great food offerings.

Bold. Sophisticated. Enticing. Welcome to The Cromwell.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.172425,36.115016
Palms Casino Resort,(702) 942-7777,4321 W Flamingo Rd,Las Vegas,Nevada,United States of America,89103,"Different by Design
Unprecedented suites. Unrivaled art. Uncompromising service. Welcome to the new Palms.
","WiFi, Pool, Spa, TV, Air Conditioning,Smoking",0,-115.194812,36.114435
Hooters Casino Hotel ,(702) 739-9000,115 E Tropicana Ave,Las Vegas,Nevada,United States of America,89109,"Hotel
Fun filled 24/7.

Hooters Casino Hotel understands what guests want and how to get the most out of a Las Vegas trip. Hooters Casino Hotel is the place for people who are looking for an authentic, down-to-earth experience and a great value. We are not fancy or flashy. Instead, we offer a “be yourself attitude” with $1 blackjack tables, renovated rooms at incredible rates, name-brand restaurants, a pool you won’t want to leave and a no-ego ambiance reminiscent of the way Vegas used to be. We are located at the south end of the Strip, in the action but not the crowds. And we don’t charge for parking! Welcome to the smartest choice on the Strip.

","WiFi, Pool,TV, Air Conditioning,Smoking",0,-115.167734,36.100507
Tropicana ,(702) 739-2222,3801 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"When it comes to location, all we have are great options. Select a hotel room in the Paradise Tower to be near the casino or upgrade to a City View room to look out over the Las Vegas Strip. Book a guestroom in the Club Tower to be near our conference center and business services. Want a private balcony, easy access to all resort amenities and convenient parking? We recommend a stay in the Bungalows.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.171344,36.099648
Excalibur Hotel & Casino,(702) 597-7777,3850 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89109,"Excalibur offers everything you expect from a Las Vegas casino, with an extra dose of fun and friendliness. At the castle, you’ll enjoy your favorite slot and table games, an action-packed poker room, full-service race & sports book, and live keno. In addition to casino, amenities include 4 heated pools, a 13,000 square foot spa, a fitness room, and an arcade. There are several restaurants and bars plus live entertainment, including a medieval joust dinner show, Tournament of Kings.
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view, Smoking",0,-115.17293,36.099037
Delano,(702) 632-7888,3940 S Las Vegas Blvd,Las Vegas,Nevada,United States of America,89119,"Fusing the chic style and subtle seductions of the iconic South Beach brand with the vibrant energy of the Las Vegas Strip, Delano Las Vegas, the non-smoking, all-suite luxury hotel located adjacent to Mandalay Bay, defies every Las Vegas cliché.

Anchored by dynamic public spaces and sophisticated accommodations, this modern luxury hotel provides an intimate experience and appeals to the most discerning travelers from around the globe. At Delano Las Vegas, guests can discover a blend of personalized service and effortless luxury coupled with unexpected elements of individuality and high-concept design.

","WiFi, Pool, Spa, TV, Air Conditioning,Strip view",0,-115.177599,36.093072
Trump International Hotel ,(702) 982-0000,2000 Fashion Show Dr,Las Vegas,Nevada,United States of America,89109,"If you can't always get what you want, you must be staying somewhere else. The Trump International Hotel™ Las Vegas takes pride in exceeding your expectations and catering to your every whim with our signature luxury service and incredible views of the city. As a Las Vegas non-smoking and non-gaming, luxury hotel situated high above The Strip, we are steps away from the best shopping and entertainment, yet removed enough to provide respite in the midst of lively Las Vegas.

Our 64-story tower of golden glass soars above The Strip and each of our 1,282 exquisitely appointed non-smoking guest rooms, inclusive of 352 suites and 46 luxurious Las Vegas penthouses, boast floor-to-ceiling windows offering panoramic views of the city and surrounding mountains. Our luxury suites in Vegas also feature state-of-the-art kitchens that can be custom stocked through our Trump Attaché service. The Attaché team is available for a variety of others personalized services including providing plush, pet-friendly amenities through our Trump Pets program. The perfect setting for your next Las Vegas meeting or event, we have enough rooms for your entire party and sophisticated Las Vegas meeting space for every occasion. 
","WiFi, Pool, Spa, TV, Air Conditioning,Strip view",0,-115.172818,36.129555
Four Queens,(702) 385-4011,202 Fremont St,Las Vegas,Nevada,United States of America,89101,"Four Queens Hotel and Casino has been in opperation since 1966. We have consistentlt concentrated on delivering high quality, traditional Vegas gaming and entertainment. The property is across from our sister property, Binion's Gambling Hall in the heart of Fremont Street in the town Las Vegas. 
","WiFi, Pool, TV, Air Conditioning, Smoking",0,-115.143403,36.169742
The D Las Vegas,(702) 388-2400,301 Fremont St,Las Vegas,Nevada,United States of America,89101,"Imagine the ultimate party in your own private sanctuary of rest and relaxation. At 34-stories high, with 629 deluxe rooms, the D Casino Hotel Las Vegas will be your fantasy playground.

You can enjoy the comforts of home by night and the high energy entertainment that Las Vegas has to offer.

","WiFi, Pool, TV, Air Conditioning, Smoking",0,-115.143236,36.1691
The Plaza Hotel and Casino,(702) 386-2110,1 S Main St,Las Vegas,Nevada,United States of America,89101,"THE PLACE TO BE DOWNTOWN

FROM THE BRIGHT, RUNNING NEON BULBS TO FRIENDLY DEALERS AND GREAT VALUE, THE TRADITIONAL VEGAS EXPERIENCE IS STILL ALIVE AND WELL IN DOWNTOWN LAS VEGAS’ FAVORITE HOTEL & CASINO – PLAZA.","WiFi, Pool, Spa, TV, Air Conditioning,Smoking",0,-115.146644,36.171887
El Cortez Hotel and Casino,(800) 634-6703,600 E Fremont St,Las Vegas,Nevada,United States of America,89101,"El Cortez Hotel and Casino is the longest continuously-running casino in Las Vegas. Located off the strip in Fremont East Entertainment District within the historic Downtown, El Cortez is the authentic Vegas experience that you have been craving. El Cortez first opened its doors on the corner of 6th and Fremont Streets in 1941, and was so successful that it attracted the attention of Benjamin “Bugsy” Siegel and Meyer Lansky, who bought the property. In 1963 it went to another Vegas “family,” when Las Vegas icon Jackie Vaughn bought the El Cortez.

There are two ways to experience Las Vegas. The classic Vegas of the Rat Pack and Fremont Street, and the new Vegas of the Strip. When you stay at the El Cortez, you get the best of both worlds – the authenticity of a nostalgic Vegas experience and the amenities and first-class treatment expected further south along the Strip. Downtown Las Vegas is the Vegas experience you’ve been waiting for. In the 2018 LVRJ Best of Las Vegas awards, El Cortez was voted Best Downtown Hotel. Excitement, adventure, and entertainment all come together at the El Cortez Hotel & Casino. We offer an array of suites and rooms that fit your style… and ours.
","WiFi, Pool, TV, Air Conditioning,Smoking",0,-115.138985,36.169075
Fremont Hotel and Casino,(702) 385-3232,200 Fremont St,Las Vegas,Nevada,United States of America,89101,"Located in the heart of the Fremont Street Experience, our friendly team members serve up plenty of gaming action, not to mention delectable, award-winning dining selections and comfortable accommodations.","WiFi,TV, Air Conditioning,Smoking",0,-115.143115,36.170888
